city,state,county_name,lat,lng,population
Paradise,Nevada,Clark,36.0807,-115.1369,235087
Nashua,New Hampshire,Hillsborough,42.7491,-71.491,233917
Arlington,Virginia,Arlington,38.8786,-77.1011,233464
Hialeah,Florida,Miami-Dade,25.8696,-80.3046,233339
York,Pennsylvania,York,39.9651,-76.7315,233184
Evansville,Indiana,Vanderburgh,37.9881,-87.5341,230427
Avondale,Arizona,Maricopa,33.3858,-112.3236,227289
Brownsville,Texas,Cameron,25.998,-97.4565,227239
Gulfport,Mississippi,Harrison,30.4271,-89.0703,220987
Appleton,Wisconsin,Outagamie,44.2779,-88.3891,220570
Bremerton,Washington,Kitsap,47.5436,-122.7122,218400
Hickory,North Carolina,Catawba,35.7425,-81.323,218323
Tacoma,Washington,Pierce,47.2431,-122.4531,217827
San Bernardino,California,San Bernardino,34.1417,-117.2946,215784
College Station,Texas,Brazos,30.5852,-96.296,215243
Kalamazoo,Michigan,Kalamazoo,42.2749,-85.5882,215193
Thousand Oaks,California,Ventura,34.1914,-118.8755,215029
Roanoke,Virginia,Roanoke,37.2785,-79.958,214674
Fontana,California,San Bernardino,34.0968,-117.4599,214547
Moreno Valley,California,Riverside,33.9244,-117.2045,213055
North Port,Florida,Sarasota,27.0577,-82.1975,209070
Fargo,North Dakota,Cass,46.8652,-96.8292,208675
Green Bay,Wisconsin,Brown,44.515,-87.9896,207557
Spring Valley,Nevada,Clark,36.0987,-115.2619,207127
Amarillo,Texas,Potter,35.1988,-101.8311,205603
Portland,Maine,Cumberland,43.6773,-70.2715,203969
Santa Barbara,California,Santa Barbara,34.4285,-119.7202,202401
Gainesville,Florida,Alachua,29.6804,-82.3458,202335
Olympia,Washington,Thurston,47.0417,-122.8959,200915
Frisco,Texas,Collin,33.1555,-96.8215,200490
Yonkers,New York,Westchester,40.9466,-73.8674,200370
Norwich,Connecticut,New London,41.5495,-72.0882,200289
Glendale,California,Los Angeles,34.1818,-118.2468,199303
Huntington Beach,California,Orange,33.696,-118.0025,199223
Deltona,Florida,Volusia,28.905,-81.2137,198361
Aurora,Illinois,Kane,41.7637,-88.2901,197757
Tempe,Arizona,Maricopa,33.3881,-111.9318,195805
Overland Park,Kansas,Johnson,38.887,-94.687,195494
Grand Prairie,Texas,Dallas,32.6872,-97.0209,194543
Sunrise Manor,Nevada,Clark,36.1785,-115.049,193781
Waco,Texas,McLennan,31.5598,-97.1881,192315
Salinas,California,Monterey,36.6884,-121.6317,190972
Waterbury,Connecticut,New Haven,41.5583,-73.0361,189614
Clarksville,Tennessee,Montgomery,36.5695,-87.342,188746
Cedar Rapids,Iowa,Linn,41.9665,-91.6782,188038
Sioux Falls,South Dakota,Minnehaha,43.5397,-96.732,187239
Huntington,West Virginia,Cabell,38.4109,-82.4344,186034
Ontario,California,San Bernardino,34.0393,-117.6064,185010
Hagerstown,Maryland,Washington,39.6401,-77.7217,184755
Erie,Pennsylvania,Erie,42.1168,-80.0733,184484
Vancouver,Washington,Clark,45.6366,-122.5967,184463
Nampa,Idaho,Canyon,43.5845,-116.5631,184428
Spartanburg,South Carolina,Spartanburg,34.9437,-81.9257,182701
Gastonia,North Carolina,Gaston,35.2494,-81.1853,182581
Fort Lauderdale,Florida,Broward,26.1412,-80.1464,182437
Lorain,Ohio,Lorain,41.4409,-82.184,180279
