,restaurant_id,address,cuisine,city,name,latitude,longitude
5285,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5286,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5287,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5288,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5289,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5290,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5291,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5292,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5293,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5294,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5295,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5296,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5297,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5298,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5299,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5300,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5301,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5302,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5303,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5304,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5305,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5306,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5307,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5308,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5309,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
